NAME	OFFICE	DOCID
Thompson, Hon.. Bennie G.	MS02	10068669
Thompson, Hon.. Glenn	PA15	10067723
Thompson, Hon.. Mike	CA04	8221141
Tiffany, Hon.. Tom	WI07	10070363
Timmons, Hon.. William R.	SC04	10067714
Titus, Hon.. Dina	NV01	9115617
Tlaib, Hon.. Rashida	MI12	10065877
Tokuda, Hon.. Jill Naomi	HI02	10067086
Tonko, Hon.. Paul	NY20	10066425
Torres, Hon.. Norma	CA35	10065948
Torres, Hon.. Ritchie John	NY15	10069158
Trahan, Hon.. Lori	MA03	10067124
Turner, Hon.. Michael R.	OH10	10066268
Underwood, Hon.. Lauren	IL14	10066450
Valadao, Hon.. David G.	CA22	10067886
Van Drew, Hon.. Jeff Mr	NJ02	8221142
Van Duyne, Hon.. Elizabeth Ann	TX24	10072107
Van Orden, Hon.. Derrick F Mr	WI03	10067509
Vargas, Hon.. Juan	CA52	10067866
Vasquez, Hon.. Gabriel	NM02	10067133
Veasey, Hon.. Marc A.	TX33	10066347
Velázquez, Hon.. Nydia M.	NY07	10066479
Wagner, Hon.. Ann	MO02	10066516
Walberg, Hon.. Tim	MI05	10066050
Wasserman Schultz, Hon.. Debbie	FL25	10067328
Waters, Hon.. Maxine	CA43	10068869
Weber, Hon.. Randy K.	TX14	10071770
Webster, Hon.. Daniel	FL11	10066385
Westerman, Hon.. Bruce	AR04	10066175
Williams, Hon.. Nikema N.	GA05	10067344
Williams, Hon.. Roger	TX25	10067032
Wilson, Hon.. Frederica S.	FL24	10068913
Wilson, Hon.. Joe	SC02	10067157
Wittman, Hon.. Robert J.	VA01	10066849
Womack, Hon.. Steve	AR03	10068087
Yakym, Hon.. Rudy C.	IN02	10066284
Zinke, Hon.. Ryan K.	MT01	10069229
